"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","bulk_density","cf","cconc","ccontent_1m","depth_100","bd_filled","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"70","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","LF",2.5,5,2.5,0.14,0,45.94,1607.9,2.5,"yes","L",0,1607.9,16.079,562.765
"71","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","H",0,2.5,2.5,0.14,0,36.94,1292.9,2.5,"yes","H",0,1292.9,12.929,452.515
"72","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bfh",-15,0,15,1.38,77,3.8,1809.18,15,"yes","B",77,1809.18,78.66,37450.026
"73","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bf1",-30,-15,15,1.38,73,2.23,1246.347,15,"yes","B",73,1246.347,46.161,25799.3829
"74","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bf2",-45,-30,15,1.38,73,2.1,1173.69,15,"yes","B",73,1173.69,43.47,24295.383
"75","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bf3",-60,-45,15,1.38,76,2.06,1023.408,15,"yes","B",76,1023.408,42.642,21184.5456
"76","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bfgj1",-75,-60,15,1.38,76,1.8,894.24,15,"yes","B",76,894.24,37.26,18510.768
"77","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bfgj2",-90,-75,15,1.38,84,1.36,450.432,15,"yes","B",84,450.432,28.152,9323.9424
"78","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","BCd",-105,-90,15,1.38,53.6666666666667,0.43,274.942,15,"yes","B",53.6666666666667,412.413,8.901,5691.2994
"79","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","C",105,105,0,NA,0,NA,NA,0,"no","C",0,NA,NA,NA
"80","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","LF",7.5,10,2.5,0.11,0,43.07,1184.425,2.5,"yes","L",0,1184.425,11.84425,325.716875
"81","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","H",0,7.5,7.5,0.11,0,43.07,3553.275,7.5,"yes","H",0,3553.275,35.53275,2931.451875
"82","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bhf",-15,0,15,0.86,46,7.1,4945.86,15,"yes","B",46,4945.86,91.59,63801.594
"83","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfh1",-30,-15,15,0.86,44,4.42,3193.008,15,"yes","B",44,3193.008,57.018,41189.8032
"84","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfh2",-45,-30,15,0.86,42,3.88,2903.016,15,"yes","B",42,2903.016,50.052,37448.9064
"85","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfh3",-60,-45,15,0.86,43,3.86,2838.258,15,"yes","B",43,2838.258,49.794,36613.5282
"86","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfh4",-75,-60,15,0.86,54,4.92,2919.528,15,"yes","B",54,2919.528,63.468,37661.9112
"87","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfhgj",-90,-75,15,0.86,50,5.74,3702.3,15,"yes","B",50,3702.3,74.046,47759.67
"88","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","BCd",-105,-90,15,1.71,66,0.77,447.678,15,"yes","B",66,671.517,19.7505,11482.9407
"89","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","C",105,105,0,NA,0,0.31,NA,0,"no","C",0,NA,NA,NA
"90","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","LF",4,7.5,3.5,0.14,0,44.6,2185.4,3.5,"yes","L",0,2185.4,21.854,1070.846
"91","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","H",0,4,4,0.14,0,32.92,1843.52,4,"yes","H",0,1843.52,18.4352,1032.3712
"92","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bf1",-20,0,20,1.38,40,1.69,2798.64,20,"yes","B",40,2798.64,46.644,77242.464
"93","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bf2",-40,-20,20,1.38,55,1.55,1925.1,20,"yes","B",55,1925.1,42.78,53132.76
"94","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bf3",-60,-40,20,1.38,60,1.71,1887.84,20,"yes","B",60,1887.84,47.196,52104.384
"95","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bfgj1",-80,-60,20,1.38,63,2.1,2144.52,20,"yes","B",63,2144.52,57.96,59188.752
"96","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bfgh2",-112,-80,32,1.38,55,3.41,4235.22,32,"yes","B",55,6776.352,150.5856,187027.3152
"97","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","BCd",-127,-112,15,1.38,39,0.27,0,27,"yes","B",39,340.929,5.589,0
"98","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","C",127,127,0,NA,0,0.12,NA,0,"no","C",0,NA,NA,NA
"99","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","LF",7.5,10,2.5,0.14,0,48.23,1688.05,2.5,"yes","L",0,1688.05,16.8805,590.8175
"100","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","H",0,7.5,7.5,0.14,0,48.81,5125.05,7.5,"yes","H",0,5125.05,51.2505,5381.3025
"101","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bfh1",-15,0,15,1.38,52,4.24,4212.864,15,"yes","B",52,4212.864,87.768,87206.2848
"102","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bfh2",-30,-15,15,1.38,52,3.23,3209.328,15,"yes","B",52,3209.328,66.861,66433.0896
"103","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bf1",-45,-30,15,1.38,46,2.11,2358.558,15,"yes","B",46,2358.558,43.677,48822.1506
"104","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bf2",-60,-45,15,1.38,59,1.22,1035.414,15,"yes","B",59,1035.414,25.254,21433.0698
"105","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bfgj1",-75,-60,15,1.38,56,1.12,1020.096,15,"yes","B",56,1020.096,23.184,21115.9872
"106","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bfgh2",-90,-75,15,1.38,56,2.11,1921.788,15,"yes","B",56,1921.788,43.677,39781.0116
"107","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","BCd",-105,-90,15,1.38,56,0.41,248.952,15,"yes","B",56,373.428,8.487,5153.3064
"108","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","C",105,105,0,NA,0,0.17,NA,0,"no","C",0,NA,NA,NA
"109","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","LF",5,7.5,2.5,0.16,0,42.02,1680.8,2.5,"yes","L",0,1680.8,16.808,672.32
"110","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","H",0,5,5,0.16,0,31.9,2552,5,"yes","H",0,2552,25.52,2041.6
"111","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Ae",-2.5,0,2.5,1.24,22,1.89,457.002,2.5,"yes","A",22,457.002,5.859,1416.7062
"112","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Bm1",-17.5,-2.5,15,1.45,44.4705882352941,1.31,1582.17176470588,15,"yes","B",44.4705882352941,1582.17176470588,28.4925,34412.2358823529
"113","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Bm2",-32.5,-17.5,15,1.45,44.4705882352941,1.25,1509.70588235294,15,"yes","B",44.4705882352941,1509.70588235294,27.1875,32836.1029411765
"114","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Bm3",-47.5,-32.5,15,1.45,44.4705882352941,0.89,1074.91058823529,15,"yes","B",44.4705882352941,1074.91058823529,19.3575,23379.3052941176
"115","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Bmgj",-62.5,-47.5,15,1.45,56,1.04,995.28,15,"yes","B",56,995.28,22.62,21647.34
"116","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","BCd",-77.5,-62.5,15,1.45,0,0.35,761.25,15,"yes","B",0,761.25,7.6125,16557.1875
"117","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","C",-77.5,-77.5,0,NA,0,0.12,NA,0,"no","C",0,NA,NA,NA
"118","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","LF",7.5,22.5,15,0.11,0,25.07,4136.55,15,"yes","L",0,4136.55,41.3655,6825.3075
"119","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","H",0,7.5,7.5,0.11,0,50.34,4153.05,7.5,"yes","H",0,4153.05,41.5305,3426.26625
"120","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhf1",-15,0,15,0.86,49,10.98,7223.742,15,"yes","B",49,7223.742,141.642,93186.2718
"121","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhf2",-30,-15,15,0.86,33,8.56,7398.408,15,"yes","B",33,7398.408,110.424,95439.4632
"122","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhf3",-45,-30,15,0.86,29,7.93,7263.087,15,"yes","B",29,7263.087,102.297,93693.8223
"123","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhf4",-60,-45,15,0.86,33,11.01,9515.943,15,"yes","B",33,9515.943,142.029,122755.6647
"124","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhfgj1",-75,-60,15,0.86,48,9.58,6426.264,15,"yes","B",48,6426.264,123.582,82898.8056
"125","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhfgj2",-90,-75,15,0.86,41,9.35,7116.285,15,"yes","B",41,7116.285,120.615,91800.0765
"126","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","BCd",-105,-90,15,1.71,53.6666666666667,1.51,1196.373,15,"yes","B",53.6666666666667,1794.5595,38.7315,30686.96745
"127","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","C",105,105,0,NA,0,1.43,NA,0,"no","C",0,NA,NA,NA
"128","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","LF",10,12.5,2.5,0.11,0,33.41,918.775,2.5,"yes","L",0,918.775,9.18775,252.663125
"129","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","H",0,10,10,0.11,0,44.35,4878.5,10,"yes","H",0,4878.5,48.785,5366.35
"130","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bhf",-15,0,15,0.86,35,6.13,5140.005,15,"yes","B",35,5140.005,79.077,66306.0645
"131","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bhf",-30,-15,15,0.86,39,5.38,4233.522,15,"yes","B",39,4233.522,69.402,54612.4338
"132","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bfhgj1",-45,-30,15,0.86,41,3.67,2793.237,15,"yes","B",41,2793.237,47.343,36032.7573
"133","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bfhgj2",-55,-45,10,0.86,45,3.3,1560.9,10,"yes","B",45,1560.9,28.38,13423.74
"134","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","BCd",-70,-55,15,1.71,44,0.93,1335.852,15,"yes","B",44,1335.852,23.8545,34264.6038
"135","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","C",-70,-70,0,NA,0,0.39,NA,0,"no","C",0,NA,NA,NA
"136","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","LF",7.5,10,2.5,0.14,0,46.61,1631.35,2.5,"yes","L",0,1631.35,16.3135,570.9725
"137","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","H",0,7.5,7.5,0.14,0,43.16,4531.8,7.5,"yes","H",0,4531.8,45.318,4758.39
"138","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Ae",-5,0,5,1.31,22,1.16,592.644,5,"yes","A",22,592.644,7.598,3881.8182
"139","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfh",-20,-5,15,1.46,32,2.98,4437.816,15,"yes","B",32,4437.816,65.262,97188.1704
"140","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf1",-35,-20,15,1.46,36,2.59,3630.144,15,"yes","B",36,3630.144,56.721,79500.1536
"141","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf2",-50,-35,15,1.46,35,1.63,2320.305,15,"yes","B",35,2320.305,35.697,50814.6795
"142","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf3",-65,-50,15,1.46,34,0.85,1228.59,15,"yes","B",34,1228.59,18.615,26906.121
"143","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf4",-80,-65,15,1.46,43,1.96,2446.668,15,"yes","B",43,2446.668,42.924,53582.0292
"144","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfgj1",-95,-80,15,1.46,33,2.77,4064.421,15,"yes","B",33,4064.421,60.663,89010.8199
"145","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfgj2",-110,-95,15,1.46,33,3.92,1917.272,15,"yes","B",33,5751.816,85.848,41988.2568
"146","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","C",-110,-110,0,NA,0,0.43,NA,10,"no","C",0,NA,NA,NA
