source,id,order,lat,lon,latlon_q,elevation,slope,aspect,horizon,depth2,depth1,depth,mineral_d,ff_d,total_d,bulk_density,cf,cconc,ccontent,total_c,ccontent_1m,total_c_1m
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.98333333,LOW,240,27.5,N,Bhs5,-133,-170,37,NA,NA,NA,1.71,NA,11.3,71495.100000000006,NA,0,NA
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.98333333,LOW,240,27.5,N,Bhs6,-170,-210,40,NA,NA,NA,1.71,NA,9.9,67716,NA,0,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,LF,5,2.5,2.5,100,5,105,0.14000000000000001,NA,45.94,1607.8999999999999,9910.51,1607.8999999999999,97.73039000000001
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,H,2.5,0,2.5,NA,NA,NA,0.14000000000000001,NA,36.94,1292.8999999999999,NA,1292.8999999999999,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bfh,0,-15,15,NA,NA,NA,1.38,77,3.8,1809.1799999999998,NA,1809.1799999999998,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bf1,-15,-30,15,NA,NA,NA,1.38,73,2.23,1246.347,NA,1246.347,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bf2,-30,-45,15,NA,NA,NA,1.38,73,2.1,1173.69,NA,1173.69,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bf3,-45,-60,15,NA,NA,NA,1.38,76,2.06,1023.4079999999999,NA,1023.4079999999999,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bfgj1,-60,-75,15,NA,NA,NA,1.38,76,1.8,894.24,NA,894.24,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bfgj2,-75,-90,15,NA,NA,NA,1.38,84,1.36,450.43199999999996,NA,450.43199999999996,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,BCd,-90,-105,15,NA,NA,NA,1.38,53.666666666666664,0.43,412.41300000000001,NA,274.94200000000001,NA
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,C,105,105,"NA",NA,NA,NA,"NA",NA,"NA","NA",NA,"NA",NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,LF,10,7.5,2.5,100,10,110,0.11,NA,43.07,1184.425,25911.187,1184.425,256.87348000000003
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,H,7.5,0,7.5,NA,NA,NA,0.11,NA,43.07,3553.2750000000001,NA,3553.2750000000001,NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,Bhf,0,-15,15,NA,NA,NA,0.86,46,7.1,4945.8600000000006,NA,4945.8600000000006,NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,Bfh1,-15,-30,15,NA,NA,NA,0.86,44,4.42,3193.0079999999998,NA,3193.0079999999998,NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,Bfh2,-30,-45,15,NA,NA,NA,0.86,42,3.88,2903.0160000000001,NA,2903.0160000000001,NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,Bfh3,-45,-60,15,NA,NA,NA,0.86,43,3.86,2838.2579999999994,NA,2838.2579999999994,NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,Bfh4,-60,-75,15,NA,NA,NA,0.86,54,4.92,2919.5280000000002,NA,2919.5280000000002,NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,Bfhgj,-75,-90,15,NA,NA,NA,0.86,50,5.74,3702.2999999999997,NA,3702.2999999999997,NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,BCd,-90,-105,15,NA,NA,NA,1.71,66,0.77,671.51700000000005,NA,447.67800000000005,NA
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.03333333,LOW,168,20,E,C,105,105,0,NA,NA,NA,"NA",NA,0.31,"NA",NA,"NA",NA
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,LF,7.5,4,3.5,100,7.5,107.5,0.14000000000000001,NA,44.6,2185.4000000000005,19902.301,2185.4000000000005,170.20239999999998
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,H,4,0,4,NA,NA,NA,0.14000000000000001,NA,32.92,1843.5200000000002,NA,1843.5200000000002,NA
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,Bf1,0,-20,20,NA,NA,NA,1.38,40,1.69,2798.639999999999,NA,2798.639999999999,NA
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,Bf2,-20,-40,20,NA,NA,NA,1.38,55,1.55,1925.1000000000001,NA,1925.1000000000001,NA
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,Bf3,-40,-60,20,NA,NA,NA,1.38,60,1.71,1887.84,NA,1887.84,NA
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,Bfgj1,-60,-80,20,NA,NA,NA,1.38,63,2.1,2144.52,NA,2144.52,NA
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,Bfgh2,-80,-112,32,NA,NA,NA,1.38,55,3.41,6776.3519999999999,NA,4235.2199999999993,NA
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,BCd,-112,-127,15,NA,NA,NA,1.38,39,0.27,340.92899999999997,NA,0,NA
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.51666667,LOW,244,10,W,C,127,127,0,NA,NA,NA,"NA",NA,0.12,"NA",NA,"NA",NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,LF,10,7.5,2.5,100,10,110,0.14000000000000001,NA,48.23,1688.05,20944.576,1688.05,208.20100000000002
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,H,7.5,0,7.5,NA,NA,NA,0.14000000000000001,NA,48.81,5125.05,NA,5125.05,NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,Bfh1,0,-15,15,NA,NA,NA,1.38,52,4.24,4212.8639999999996,NA,4212.8639999999996,NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,Bfh2,-15,-30,15,NA,NA,NA,1.38,52,3.23,3209.328,NA,3209.328,NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,Bf1,-30,-45,15,NA,NA,NA,1.38,46,2.11,2358.5579999999995,NA,2358.5579999999995,NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,Bf2,-45,-60,15,NA,NA,NA,1.38,59,1.22,1035.4139999999998,NA,1035.4139999999998,NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,Bfgj1,-60,-75,15,NA,NA,NA,1.38,56,1.1200000000000001,1020.096,NA,1020.096,NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,Bfgh2,-75,-90,15,NA,NA,NA,1.38,56,2.11,1921.7879999999996,NA,1921.7879999999996,NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,BCd,-90,-105,15,NA,NA,NA,1.38,56,0.41,373.42799999999994,NA,248.95199999999997,NA
LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.53333333,-127.33333333,LOW,168,5,FLAT,C,105,105,0,NA,NA,NA,"NA",NA,0.17,"NA",NA,"NA",NA
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,LF,7.5,5,2.5,77.5,7.5,85,0.16,NA,42.02,1680.8,10613.12023529412,1680.8,106.13120235294119
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,H,5,0,5,NA,NA,NA,0.16,NA,31.9,2552,NA,2552,NA
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,Ae,0,-2.5,2.5,NA,NA,NA,1.24,22,1.89,457.00200000000001,NA,457.00200000000001,NA
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,Bm1,-2.5,-17.5,15,NA,NA,NA,1.45,44.470588235294116,1.31,1582.1717647058824,NA,1582.1717647058824,NA
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,Bm2,-17.5,-32.5,15,NA,NA,NA,1.45,44.470588235294116,1.25,1509.7058823529412,NA,1509.7058823529412,NA
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,Bm3,-32.5,-47.5,15,NA,NA,NA,1.45,44.470588235294116,0.89,1074.9105882352942,NA,1074.9105882352942,NA
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,Bmgj,-47.5,-62.5,15,NA,NA,NA,1.45,56,1.04,995.28,NA,995.28,NA
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,BCd,-62.5,-77.5,15,NA,NA,NA,1.45,NA,0.35,761.25,NA,761.25,NA
LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.16666667,LOW,366,10,S,C,-77.5,-77.5,0,NA,NA,NA,"NA",NA,0.12,"NA",NA,"NA",NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,LF,22.5,7.5,15,100,22.5,122.5,0.11,NA,25.07,4136.5499999999993,55027.8885,4136.5499999999993,544.29702
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,H,7.5,0,7.5,NA,NA,NA,0.11,NA,50.34,4153.05,NA,4153.05,NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,Bhf1,0,-15,15,NA,NA,NA,0.86,49,10.98,7223.7420000000011,NA,7223.7420000000011,NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,Bhf2,-15,-30,15,NA,NA,NA,0.86,33,8.56,7398.4080000000004,NA,7398.4080000000004,NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,Bhf3,-30,-45,15,NA,NA,NA,0.86,29,7.93,7263.0869999999986,NA,7263.0869999999986,NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,Bhf4,-45,-60,15,NA,NA,NA,0.86,33,11.01,9515.9430000000011,NA,9515.9430000000011,NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,Bhfgj1,-60,-75,15,NA,NA,NA,0.86,48,9.58,6426.2639999999992,NA,6426.2639999999992,NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,Bhfgj2,-75,-90,15,NA,NA,NA,0.86,41,9.35,7116.2849999999999,NA,7116.2849999999999,NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,BCd,-90,-105,15,NA,NA,NA,1.71,53.666666666666664,1.51,1794.5595000000003,NA,1196.3730000000003,NA
LEWIS 1976,GW,Duric Ferro-Humic Podzol,48.6,-124.36666667,LOW,533,40,SE,C,105,105,0,NA,NA,NA,"NA",NA,1.43,"NA",NA,"NA",NA
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,LF,12.5,10,2.5,70,12.5,82.5,0.11,NA,33.409999999999997,918.77499999999975,20860.791,918.77499999999975,208.60791
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,H,10,0,10,NA,NA,NA,0.11,NA,44.35,4878.5,NA,4878.5,NA
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,Bhf,0,-15,15,NA,NA,NA,0.86,35,6.13,5140.0050000000001,NA,5140.0050000000001,NA
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,Bhf,-15,-30,15,NA,NA,NA,0.86,39,5.38,4233.5219999999999,NA,4233.5219999999999,NA
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,Bfhgj1,-30,-45,15,NA,NA,NA,0.86,41,3.67,2793.2370000000001,NA,2793.2370000000001,NA
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,Bfhgj2,-45,-55,10,NA,NA,NA,0.86,45,3.3,1560.9000000000003,NA,1560.9000000000003,NA
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,BCd,-55,-70,15,NA,NA,NA,1.71,44,0.93,1335.8520000000003,NA,1335.8520000000003,NA
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,C,-70,-70,0,NA,NA,NA,"NA",NA,0.39,"NA",NA,"NA",NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,LF,10,7.5,2.5,100,10,110,0.14000000000000001,NA,46.61,1631.3500000000001,30635.554000000004,1631.3500000000001,268.0101000000001
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,H,7.5,0,7.5,NA,NA,NA,0.14000000000000001,NA,43.16,4531.8,NA,4531.8,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,Ae,0,-5,5,NA,NA,NA,1.31,22,1.1599999999999999,592.64400000000001,NA,592.64400000000001,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,Bfh,-5,-20,15,NA,NA,NA,1.46,32,2.98,4437.8159999999998,NA,4437.8159999999998,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,Bf1,-20,-35,15,NA,NA,NA,1.46,36,2.59,3630.1440000000002,NA,3630.1440000000002,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,Bf2,-35,-50,15,NA,NA,NA,1.46,35,1.63,2320.3049999999998,NA,2320.3049999999998,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,Bf3,-50,-65,15,NA,NA,NA,1.46,34,0.85,1228.5900000000001,NA,1228.5900000000001,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,Bf4,-65,-80,15,NA,NA,NA,1.46,43,1.96,2446.6679999999997,NA,2446.6679999999997,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,Bfgj1,-80,-95,15,NA,NA,NA,1.46,33,2.77,4064.4210000000003,NA,4064.4210000000003,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,Bfgj2,-95,-110,15,NA,NA,NA,1.46,33,3.92,5751.8159999999998,NA,1917.2719999999999,NA
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.33333333,LOW,229,25,N,C,-110,-110,0,NA,NA,NA,"NA",NA,0.43,"NA",NA,"NA",NA
